heading;-;-;company_name;-;language;link;original_url;date_posted;date_ends;date_created;date_updated;address;municipality_name;postal_code;-;pageviews_all;-;applyclicks_all;-;-;-;-;-;-;-;-
Kotisiivousten myyjä (ovelta-ovelle);;;Henkilöstöpalvelu Hirmu oy;Rekrytointitoimeksianto, kokoaikatyö, ja osa-aikatyön mahdollisuus, yli 12 kuukautta, Sopimuksen mukaan;finnish;;http://paikat.te-palvelut.fi/tpt/9798782;26.12.2018;30.12.2018;27.12.2018;31.12.2018;00130 HELSINKI;Helsinki;00130;;13;;1;;1 Muu;;
Kotisiivousten myyjä (ovelta-ovelle);;;Henkilöstöpalvelu Hirmu oy;Rekrytointitoimeksianto, kokoaikatyö, ja osa-aikatyön mahdollisuus, yli 12 kuukautta, Sopimuksen mukaan;finnish;;http://paikat.te-palvelut.fi/tpt/9798779;26.12.2018;30.12.2018;27.12.2018;31.12.2018;01300 VANTAA;Vantaa;01300;;6;;0;;1 Muu;;
Kotisiivousten myyjä (ovelta-ovelle);;;Henkilöstöpalvelu Hirmu oy;Rekrytointitoimeksianto, kokoaikatyö, ja osa-aikatyön mahdollisuus, yli 12 kuukautta, Sopimuksen mukaan;finnish;;http://paikat.te-palvelut.fi/tpt/9798777;26.12.2018;30.12.2018;27.12.2018;31.12.2018;02600 ESPOO;Espoo;02600;;11;;1;;1 Muu;;
Kotisiivousten myyjä;;;Henkilöstöpalvelu Hirmu oy;Rekrytointitoimeksianto, kokoaikatyö, ja osa-aikatyön mahdollisuus, yli 12 kuukautta, Sopimuksen mukaan;finnish;;http://paikat.te-palvelut.fi/tpt/9798774;26.12.2018;30.12.2018;27.12.2018;31.12.2018;33100 TAMPERE;Tampere;33100;;28;;2;;1 Muu;;
Kotisiivousten myyjä;;;Henkilöstöpalvelu Hirmu oy;Rekrytointitoimeksianto, kokoaikatyö, ja osa-aikatyön mahdollisuus, yli 12 kuukautta, Sopimuksen mukaan;finnish;;http://paikat.te-palvelut.fi/tpt/9798790;26.12.2018;30.12.2018;27.12.2018;31.12.2018;00130 HELSINKI;Helsinki;00130;;9;;1;;1 Muu;;
Kotisiivousten myyjä;;;Henkilöstöpalvelu Hirmu oy;Rekrytointitoimeksianto, kokoaikatyö, ja osa-aikatyön mahdollisuus, yli 12 kuukautta, Sopimuksen mukaan;finnish;;http://paikat.te-palvelut.fi/tpt/9798788;26.12.2018;30.12.2018;27.12.2018;31.12.2018;02600 ESPOO;Espoo;02600;;9;;0;;1 Muu;;
Kotisiivousten myyjä;;;Henkilöstöpalvelu Hirmu oy;Rekrytointitoimeksianto, kokoaikatyö, ja osa-aikatyön mahdollisuus, yli 12 kuukautta, Sopimuksen mukaan;finnish;;http://paikat.te-palvelut.fi/tpt/9798784;26.12.2018;30.12.2018;27.12.2018;31.12.2018;01300 VANTAA;Vantaa;01300;;7;;0;;1 Muu;;
HIRMUmyyjiä;;;Henkilöstöpalvelu Hirmu oy;Rekrytointitoimeksianto, kokoaikatyö, ja osa-aikatyön mahdollisuus, yli 12 kuukautta, Sopimuksen mukaan;finnish;;http://paikat.te-palvelut.fi/tpt/9798838;26.12.2018;30.12.2018;27.12.2018;31.12.2018;00130 HELSINKI;Helsinki;00130;;8;;0;;1 Muu;;
Ajanvaraaja;;;Henkilöstöpalvelu Hirmu oy;Rekrytointitoimeksianto, kokoaikatyö, osa-aikatyön mahdollisuus sopimuksen mukaan, yli 12 kuukautta;finnish;;http://paikat.te-palvelut.fi/tpt/9798883;26.12.2018;30.12.2018;27.12.2018;31.12.2018;00180 HELSINKI;Helsinki;00180;;29;;1;;1 Muu;;
Terveysravintomyyjä;;;Henkilöstöpalvelu Hirmu oy;Rekrytointitoimeksianto, kokoaikatyö, sopimuksen mukaan, yli 12 kuukautta, Sopimuksen mukaan;finnish;;http://paikat.te-palvelut.fi/tpt/9798975;26.12.2018;30.12.2018;27.12.2018;31.12.2018;33101 TAMPERE;Tampere;33101;;24;;1;;1 Muu;;
Terveysravintomyyjä;;;Henkilöstöpalvelu Hirmu oy;Rekrytointitoimeksianto, kokoaikatyö, sopimuksen mukaan, yli 12 kuukautta, Sopimuksen mukaan;finnish;;http://paikat.te-palvelut.fi/tpt/9798970;26.12.2018;30.12.2018;27.12.2018;31.12.2018;20100 TURKU;Turku;20100;;26;;2;;1 Muu;;
